shop_id,brand,branch_name,address,emirate,lat,lon,geo_confidence,segment,format
tt_the_greens_souk,Tips & Toes,The Greens Souk,"Community Centre Shop 8, Street 7, The Greens",Dubai,25.09286,55.17062,medium,women,mid_salon
tt_the_springs_souk,Tips & Toes,The Springs Souk,Springs Souq,Dubai,25.06614,55.19213,high,women,mid_salon
tt_the_valley,Tips & Toes,The Valley,Emaar Valley Pavilion Mall,Dubai,25.01147,55.44707,medium,women,mid_salon
tt_the_villa,Tips & Toes,The Villa,"Next to Spinneys, The Villa",Dubai,25.00949,55.30579,low,women,mid_salon
tt_yas_mall,Tips & Toes,Yas Mall,"Yas Mall, Lower ground floor, Yas Island",Abu Dhabi,24.48601,54.60767,high,women,mid_salon
jz_palm_jumeirah,Jazz Lounge Spa,Palm Jumeirah,Palm Jumeirah,Dubai,25.11733,55.1351,medium,men,mens_spa
jz_port_de_la_mer,Jazz Lounge Spa,Port De La Mer,Port De La Mer,Dubai,25.23833,55.25279,high,men,mens_spa
jz_al_barsha,Jazz Lounge Spa,Al Barsha,Al Barsha,Dubai,25.09949,55.20173,medium,men,mens_spa
jz_mirdif,Jazz Lounge Spa,Mirdif,Mirdif,Dubai,25.22184,55.42315,medium,men,mens_spa
jz_yas_mall,Jazz Lounge Spa,Yas Mall,"Yas Mall, Yas Island",Abu Dhabi,24.48601,54.60767,high,men,mens_spa
jz_nation_towers,Jazz Lounge Spa,Nation Towers,Nation Towers,Abu Dhabi,24.46446,54.327,high,men,mens_spa
jz_al_falah,Jazz Lounge Spa,Al Falah,Al Falah,Abu Dhabi,24.43711,54.71182,medium,men,mens_spa
jz_al_reem_mall,Jazz Lounge Spa,Al Reem Mall,Reem Mall,Abu Dhabi,24.48842,54.40058,high,men,mens_spa
jz_hili,Jazz Lounge Spa,Hili,"Four Points by Sheraton, Hili, Al Ain",Abu Dhabi,24.27414,55.77883,low,men,mens_spa
jz_al_bateen,Jazz Lounge Spa,Al Bateen,Al Bateen,Abu Dhabi,24.45138,54.33797,medium,men,mens_spa
